Fecha (UTC),Latitud,Longitud,Profundidad,Magnitud
2019-12-11 11:22:42,-29.94,-71.39,45,3.1
2019-12-10 22:05:01,-31.83,-71.29,57,4.2
2019-12-09 05:04:14,-32.09,-70.53,130,4.9
2019-12-05 08:01:54,-29.8,-71.28,50,4.5
2019-12-04 05:37:01,-22.54,-69.19,81,4.1
2019-12-03 08:46:34,-18.53,-70.72,44,6
2019-12-03 07:29:31,-20.88,-70.84,23,5.2
2019-12-02 19:25:36,-32.83,-71.56,47,3.1
2019-11-30 14:46:18,-31.52,-71.67,27,4
2019-11-30 07:30:52,-32.73,-71.77,29,4.1
2019-11-29 21:07:08,-32.73,-71.77,37,4.7
2019-11-29 11:06:05,-21.34,-68.93,121,5.1
2019-11-28 06:36:14,-27.29,-71.1,15,4.2
2019-11-27 14:23:40,-28.24,-70.94,63,4
2019-11-27 13:41:31,-20.35,-70.41,43,4.3
2019-11-27 07:43:47,-28.59,-70.93,65,3.2
2019-11-26 09:31:47,-28.53,-71.34,42,4.8
2019-11-25 20:40:11,-31.05,-71.27,65,3.8
2019-11-25 06:27:30,-30.79,-71.27,43,3.5
2019-11-24 21:18:25,-31.79,-71.45,44,4.4
2019-11-24 21:18:25,-31.79,-71.45,44,4.4
2019-11-23 05:35:01,-27.21,-70.9,44,3.5
2019-11-22 22:27:32,-32.72,-70.17,113,5.3
2019-11-21 15:13:56,-27.76,-70.56,65,4.4
2019-11-21 12:11:54,-29.86,-71.55,45,3.8
2019-11-21 01:36:27,-29.84,-71.22,58,4.4
2019-11-19 12:22:31,-19.47,-70.12,37,3.2
2019-11-16 20:43:35,-31.77,-71.36,48,3.9
2019-11-16 06:58:32,-30.26,-71.21,63,3.9
2019-11-15 17:16:43,-34.06,-72.28,33,4.9
2019-11-14 19:46:25,-43.18,-74.34,20,3.8
2019-11-13 03:18:02,-30.15,-71.29,63,3.7
2019-11-11 20:52:23,-31.81,-71.31,55,4.2
2019-11-11 20:52:23,-31.81,-71.31,55,4.2
2019-11-10 07:21:31,-28.33,-70.56,90,4.8
2019-11-09 08:25:14,-34.22,-71.88,42,3.9
2019-11-07 19:13:40,-20.48,-69.05,108,4.4
2019-11-06 11:39:02,-31.81,-71.29,48,4
2019-11-05 11:20:44,-20.18,-69.2,91,4
2019-11-05 00:30:27,-31.78,-71.3,56,4
2019-11-04 23:07:12,-31.82,-71.33,56,4.3
2019-11-04 23:07:12,-31.82,-71.33,56,4.3
2019-11-04 21:53:24,-31.81,-71.34,56,6.1
2019-11-04 13:03:40,-21.39,-70.44,42,4.9
2019-11-04 09:19:56,-25.87,-70.62,67,4.1
2019-11-03 13:23:16,-29.2,-67.85,138,5.5
2019-11-03 08:06:10,-30.73,-72.11,14,5.3
2019-11-01 23:43:27,-29.25,-71.59,40,4.2
2019-11-01 23:43:27,-29.25,-71.59,40,4.2
2019-10-31 22:09:14,-32.36,-71.39,49,4.6
2019-10-31 08:56:45,-31.74,-71.54,36,3.9
2019-10-30 12:38:44,-19.2,-70.15,56,3.7
2019-10-30 04:52:58,-19.02,-69.31,115,4.3
2019-10-29 20:32:08,-21.25,-68.87,119,4.5
2019-10-29 18:09:10,-30.65,-71.28,47,3.5
2019-10-29 08:15:43,-23.13,-70.67,37,4.8
2019-10-29 02:38:16,-19.55,-69.38,98,4.4
2019-10-28 03:55:11,-30.23,-69.16,28,5.4
2019-10-27 08:33:54,-29.22,-71.7,38,4.5
2019-10-25 10:53:30,-29.9,-71.4,50,3.4
2019-10-25 10:53:30,-29.9,-71.4,50,3.4
2019-10-23 23:57:22,-26.32,-70.78,42,3.7
2019-10-23 20:33:30,-31.48,-71.66,42,4.1
2019-10-23 18:43:49,-31.46,-71.61,34,4.5
2019-10-22 21:07:42,-32.56,-71.56,61,3.5
2019-10-21 12:02:42,-30.71,-71.37,49,4.3
2019-10-21 12:02:42,-30.71,-71.37,49,4.3
2019-10-21 09:36:23,-38.95,-72.85,60,5
2019-10-17 06:35:04,-23.7,-68.99,92,4.3
2019-10-11 02:55:41,-29.25,-71.72,36,4.9
2019-10-10 18:34:06,-26.32,-70.71,42,3.4
2019-10-08 14:04:11,-27.35,-70.97,33,3.7
2019-10-08 06:18:05,-18.1,-69.75,128,4.6
2019-10-06 10:40:55,-21.9,-68.61,114,5.7
2019-10-05 18:58:00,-32.58,-71.53,53,4.3
2019-09-30 11:53:23,-22.19,-68.82,116,5.6
2019-09-30 00:11:59,-20.29,-70.23,42,3.5
2019-09-29 15:57:53,-35.47,-73.18,31,6.6
2019-09-27 11:21:23,-23.17,-69.11,111,4.8
2019-09-26 20:31:29,-29.88,-71.31,46,5.4
2019-09-26 16:36:17,-40.83,-72.29,140,6
2019-09-25 19:43:24,-27.82,-66.75,167,5.3
2019-09-22 03:43:12,-31.47,-71.65,40,3.7
2019-09-21 08:39:15,-32.77,-71.78,31,3.2
2019-09-21 00:36:07,-22.11,-68.61,125,4.6
2019-09-20 16:33:53,-28.58,-71.22,40,4.5
2019-09-19 13:16:31,-31.51,-71.54,49,3.4
2019-09-19 09:54:14,-27.19,-71.07,37,4.5
2019-09-19 01:58:44,-30.7,-71.71,36,4.3
2019-09-18 05:36:24,-19.14,-70.22,71,4.5
2019-09-17 09:57:16,-19.33,-70.19,42,3.7
2019-09-16 18:39:44,-19.06,-69.54,92,4.4
2019-09-15 16:56:36,-32.28,-71.83,24,4
2019-09-14 17:40:35,-25.19,-70.67,19,4.2
2019-09-14 06:14:32,-32.85,-70.41,107,4.4
2019-09-14 03:26:55,-33.9,-72.11,38,3.2
